Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 14812.7, -2.25575, 11.5369, -26.4364
75, 1.25000, 34.7494, 34.907, 0.0257367, 11.296
90, 1.50000, 38.952, 37.4959, 0.0271672, 14.376
105, 1.75000, 43.791, 39.1276, 0.0287757, 16.6697
120, 2.00000, 49.2969, 39.8255, 0.0305679, 18.3078
135, 2.25000, 55.4671, 39.5768, 0.0325384, 19.3062
150, 2.50000, 62.1706, 38.3718, 0.0346192, 19.6462
165, 2.75000, 69.0624, 36.3634, 0.0366483, 19.4539
180, 3.00000, 75.8841, 34.0421, 0.0385413, 19.1852
195, 3.25000, 83.2075, 31.8187, 0.0406344, 19.2134
210, 3.50000, 92.049, 29.3301, 0.0434268, 19.1373
225, 3.75000, 102.684, 25.888, 0.0470238, 18.2318
240, 4.00000, 114.608, 21.1089, 0.051186, 16.0785
255, 4.25000, 126.863, 14.9142, 0.0555126, 12.5661
270, 4.50000, 138.152, 7.4235, 0.0594908, 7.78439
285, 4.75000, 147.023, -1.09201, 0.0625647, 1.97807
300, 5.00000, 152.16, -10.2568, 0.0642388, -4.50045
315, 5.25000, 152.701, -19.5915, 0.0641896, -11.1914
330, 5.50000, 148.715, -28.532, 0.0624515, -17.547
345, 5.75000, 141.332, -36.5985, 0.0594696, -23.1001
360, 6.00000, 132.124, -43.5507, 0.0558554, -27.6203
375, 6.25000, 122.408, -49.3777, 0.0521142, -31.1037
390, 6.50000, 113.002, -54.1983, 0.0485511, -33.6737
405, 6.75000, 104.3, -58.1737, 0.0453061, -35.4939
420, 7.00000, 96.437, -61.4606, 0.0424183, -36.722
435, 7.25000, 89.4082, -64.1931, 0.0398755, -37.4914
450, 7.50000, 83.1488, -66.48, 0.0376442, -37.9093
465, 7.75000, 77.5725, -68.4074, 0.0356844, -38.0593
480, 8.00000, 72.5919, -70.0424, 0.0339572, -38.0055
495, 8.25000, 68.1259, -71.4375, 0.0324273, -37.797
510, 8.50000, 64.1034, -72.6338, 0.0310645, -37.4712
525, 8.75000, 60.4631, -73.6639, 0.0298428, -37.0567
540, 9.00000, 57.1527, -74.5531, 0.0287405, -36.575
555, 9.25000, 54.1281, -75.3221, 0.0277393, -36.0429
570, 9.50000, 51.352, -75.9869, 0.026824, -35.4727
585, 9.75000, 48.7928, -76.5608, 0.0259816, -34.8739
600, 10.00000, 46.4236, -77.0542, 0.0252013, -34.2536
615, 10.25000, 44.2218, -77.4755, 0.024474, -33.6167
630, 10.50000, 42.1676, -77.8316, 0.0237919, -32.9668
645, 10.75000, 40.2445, -78.1279, 0.0231483, -32.3064
660, 11.00000, 38.4379, -78.3684, 0.0225375, -31.6368
675, 11.25000, 36.7353, -78.5565, 0.0219547, -30.9584
690, 11.50000, 35.126, -78.6945, 0.0213956, -30.2713
705, 11.75000, 33.6005, -78.7838, 0.0208564, -29.5744
720, 12.00000, 32.1503, -78.8255, 0.020334, -28.8666
735, 12.25000, 30.7684, -78.8195, 0.0198255, -28.1458
750, 12.50000, 29.4482, -78.7654, 0.0193284, -27.4097
765, 12.75000, 28.1841, -78.6621, 0.0188406, -26.6553
780, 13.00000, 26.9711, -78.5076, 0.01836, -25.8791
795, 13.25000, 25.8048, -78.2996, 0.0178849, -25.0771
810, 13.50000, 24.6812, -78.0346, 0.0174139, -24.2444
825, 13.75000, 23.5969, -77.7085, 0.0169456, -23.3755
840, 14.00000, 22.5488, -77.3162, 0.0164788, -22.4641
855, 14.25000, 21.5343, -76.8516, 0.0160127, -21.5029
870, 14.50000, 20.551, -76.3073, 0.0155463, -20.4832
885, 14.75000, 19.5971, -75.6743, 0.0150791, -19.3953
900, 15.00000, 18.6709, -74.9423, 0.0146106, -18.2277
915, 15.25000, 17.7712, -74.0987, 0.0141407, -16.967
930, 15.50000, 16.8971, -73.1288, 0.0136695, -15.5976
945, 15.75000, 16.0482, -72.0152, 0.0131973, -14.1013
960, 16.00000, 15.2245, -70.7373, 0.0127249, -12.4567
975, 16.25000, 14.4265, -69.2709, 0.0122535, -10.639
990, 16.50000, 13.6554, -67.5876, 0.011785, -8.61921
1005, 16.75000, 12.9131, -65.6546, 0.0113219, -6.36373
1020, 17.00000, 12.2023, -63.4342, 0.0108677, -3.83439
1035, 17.25000, 11.5269, -60.8842, 0.0104268, -0.988463
1050, 17.50000, 10.8919, -57.9589, 0.0100053, 2.22024
1065, 17.75000, 10.3039, -54.6117, 0.00961082, 5.8389
1080, 18.00000, 9.77094, -50.7994, 0.00925277, 9.9111
1095, 18.25000, 9.30279, -46.4899, 0.00894278, 14.4693
1110, 18.50000, 8.91069, -41.673, 0.00869446, 19.5242
1125, 18.75000, 8.60682, -36.3732, 0.00852306, 25.0517
1140, 19.00000, 8.40335, -30.6614, 0.00844457, 30.9812
1155, 19.25000, 8.31105, -24.6606, 0.00847432, 37.1899
1170, 19.50000, 8.33781, -18.5383, 0.0086254, 43.5108
1185, 19.75000, 8.48747, -12.4852, 0.00890713, 49.7534
1200, 20.00000, 8.75935, -6.68514, 0.00932437, 55.7342
1215, 20.25000, 9.14874, -1.288, 0.00987767, 61.3035
1230, 20.50000, 9.64812, 3.60579, 0.0105643, 66.3612
1245, 20.75000, 10.2485, 7.94634, 0.0113794, 70.8576
1260, 21.00000, 10.9406, 11.7253, 0.0123176, 74.7845
1275, 21.25000, 11.7158, 14.963, 0.0133735, 78.1625
1290, 21.50000, 12.5665, 17.696, 0.0145425, 81.0285
1305, 21.75000, 13.4863, 19.9683, 0.0158208, 83.4263
1320, 22.00000, 14.4697, 21.8246, 0.0172059, 85.4012
1335, 22.25000, 15.5124, 23.3073, 0.0186958, 86.9954
1350, 22.50000, 16.6108, 24.4544, 0.0202895, 88.2472
1365, 22.75000, 17.7618, 25.299, 0.0219863, 89.19
1380, 23.00000, 18.9627, 25.8697, 0.0237859, 89.8522
1395, 23.25000, 20.2108, 26.1901, 0.0256879, 90.2578
1410, 23.50000, 21.5035, 26.2805, 0.0276918, 90.4271
1425, 23.75000, 22.8377, 26.1573, 0.0297966, 90.3766
1440, 24.00000, 24.2101, 25.8345, 0.0320004, 90.1203
1455, 24.25000, 25.6165, 25.3235, 0.0343003, 89.6699
1470, 24.50000, 27.0519, 24.6341, 0.0366921, 89.0352
