Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
60, 1.00000, 14986.3, -3.17555, 14921.7, -124.342, 14958.2, 116.126, 1.12352, -26.8904, 1.55379, -154.292, 1.26058, 71.4276
75, 1.25000, 70.4159, 30.2563, 62.1941, -84.6145, 68.9244, 150.933, 0.00493771, 6.45691, 0.00639708, -115.467, 0.00556175, 107.662
90, 1.50000, 77.7582, 32.8657, 68.8489, -80.3717, 76.3056, 153.886, 0.00504459, 9.64491, 0.00662719, -111.481, 0.0057405, 110.64
105, 1.75000, 86.3317, 34.6376, 76.9595, -76.9281, 84.7658, 156.036, 0.00521367, 12.1836, 0.00695345, -108.212, 0.00597936, 112.965
120, 2.00000, 96.2046, 35.542, 86.7792, -74.2604, 94.315, 157.475, 0.00544056, 14.0975, 0.00737906, -105.565, 0.00627633, 114.752
135, 2.25000, 107.378, 35.5256, 98.7564, -72.3929, 105.013, 158.335, 0.00571963, 15.3567, 0.00791766, -103.528, 0.00663362, 116.076
150, 2.50000, 119.603, 34.5439, 113.532, -71.4872, 117.123, 158.796, 0.00603834, 15.943, 0.00859085, -102.181, 0.00706108, 117.015
165, 2.75000, 132.189, 32.7189, 131.604, -71.8778, 131.543, 158.989, 0.00637652, 15.9768, 0.00941613, -101.703, 0.00758878, 117.615
180, 3.00000, 144.55, 30.535, 152.535, -73.7955, 150.049, 158.603, 0.00673287, 15.7954, 0.0103848, -102.247, 0.00827446, 117.683
195, 3.25000, 157.68, 28.4456, 175.235, -76.9227, 173.819, 156.818, 0.00716161, 15.5585, 0.0114781, -103.736, 0.00916009, 116.687
210, 3.50000, 173.534, 26.1333, 199.908, -80.7939, 202.079, 153.162, 0.00772422, 14.8304, 0.0127236, -106.073, 0.0102272, 114.195
225, 3.75000, 192.721, 22.9044, 227.937, -85.4688, 233.438, 147.694, 0.00842518, 13.0466, 0.0141738, -109.45, 0.0114305, 110.06
240, 4.00000, 214.331, 18.3481, 260.042, -91.3894, 266.311, 140.472, 0.00922871, 9.9009, 0.0158345, -114.264, 0.0127046, 104.161
255, 4.25000, 236.573, 12.3673, 294.973, -99.0199, 297.651, 131.49, 0.0100759, 5.26453, 0.0176055, -120.9, 0.0139129, 96.3827
270, 4.50000, 257.015, 5.07476, 328.486, -108.587, 322.15, 120.947, 0.0108754, -0.881921, 0.0192265, -129.522, 0.0148146, 86.84
285, 4.75000, 272.949, -3.25641, 353.45, -119.83, 333.81, 109.501, 0.0114976, -8.39529, 0.0202977, -139.82, 0.015131, 76.1373
300, 5.00000, 281.955, -12.2445, 363.03, -131.905, 329.993, 98.2066, 0.0118001, -16.8734, 0.0204727, -150.917, 0.0147302, 65.3492
315, 5.25000, 282.489, -21.4057, 355.389, -143.679, 313.716, 88.0382, 0.0116951, -25.6411, 0.0197084, -161.676, 0.0137483, 55.5749
330, 5.50000, 274.736, -30.1761, 334.638, -154.233, 290.902, 79.4655, 0.0112121, -33.9404, 0.0182807, -171.191, 0.0124769, 47.4515
345, 5.75000, 260.809, -38.0787, 307.279, -163.128, 266.465, 72.4787, 0.0104783, -41.2169, 0.0165654, -179.047, 0.0111694, 41.0754
360, 6.00000, 243.608, -44.8751, 278.63, -170.349, 243.11, 66.8479, 0.00963928, -47.2462, 0.0148477, 174.754, 0.00996409, 36.2269
375, 6.25000, 225.549, -50.5553, 251.699, -176.107, 221.929, 62.3087, 0.00880104, -52.0611, 0.0132768, 169.991, 0.00890907, 32.5975
390, 6.50000, 208.121, -55.238, 227.69, 179.318, 203.173, 58.63, 0.00802091, -55.8204, 0.0119028, 166.38, 0.00800557, 29.9034
405, 6.75000, 192.038, -59.0841, 206.801, 175.669, 186.728, 55.6262, 0.00732116, -58.7142, 0.0107249, 163.664, 0.00723684, 27.9181
420, 7.00000, 177.533, -62.2498, 188.789, 172.732, 172.342, 53.1532, 0.00670463, -60.9179, 0.00972129, 161.632, 0.00658196, 26.4708
435, 7.25000, 164.592, -64.8689, 173.268, 170.345, 159.735, 51.1001, 0.00616534, -62.5774, 0.00886543, 160.12, 0.00602123, 25.4347
450, 7.50000, 153.088, -67.0498, 159.844, 168.381, 148.643, 49.3818, 0.00569415, -63.8087, 0.00813208, 159.006, 0.00553788, 24.7162
465, 7.75000, 142.858, -68.8783, 148.168, 166.75, 138.834, 47.9329, 0.00528155, -64.7022, 0.0074996, 158.2, 0.00511814, 24.2454
480, 8.00000, 133.738, -70.4215, 137.942, 165.379, 130.112, 46.7028, 0.00491881, -65.3277, 0.00695015, 157.631, 0.00475094, 23.9699
495, 8.25000, 125.577, -71.7319, 128.924, 164.217, 122.311, 45.6522, 0.00459831, -65.739, 0.00646929, 157.25, 0.00442737, 23.85
