Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
60, 1.00000, 14981.2, -3.18419, 14917, -124.351, 14953.3, 116.117, 0.00503131, 90.4861, 2.07116, -149.312, 0.00434343, -150.692
75, 1.25000, 64.7367, 30.5571, 56.9841, -84.1947, 63.1965, 151.211, 2.62985E-005, 123.912, 0.00808424, -109.096, 2.31432E-005, -114.774
90, 1.50000, 71.6459, 33.1082, 63.254, -79.9799, 70.1109, 154.117, 3.47848E-005, 126.659, 0.00851018, -104.918, 3.08895E-005, -111.86
105, 1.75000, 79.7179, 34.8077, 70.8962, -76.58, 78.0364, 156.21, 4.49758E-005, 128.617, 0.00904929, -101.48, 4.02389E-005, -109.773
120, 2.00000, 89.0204, 35.6276, 80.1561, -73.9664, 86.9849, 157.59, 5.71832E-005, 129.785, 0.00971846, -98.6445, 5.14701E-005, -108.435
135, 2.25000, 99.5574, 35.5157, 91.4661, -72.1624, 97.0165, 158.393, 7.17301E-005, 130.15, 0.0105547, -96.4015, 6.49191E-005, -107.752
150, 2.50000, 111.092, 34.4286, 105.443, -71.3327, 108.387, 158.81, 8.88763E-005, 129.706, 0.0116095, -94.9208, 8.10641E-005, -107.624
165, 2.75000, 122.967, 32.4956, 122.562, -71.8182, 121.966, 158.973, 0.000108717, 128.53, 0.012912, -94.5628, 0.000100757, -108.003
180, 3.00000, 134.626, 30.2175, 142.405, -73.8472, 139.465, 158.56, 0.000131403, 126.862, 0.0143978, -95.5798, 0.000125441, -109.105
195, 3.25000, 147.027, 28.0629, 163.932, -77.0843, 162.021, 156.726, 0.000157869, 124.856, 0.0159553, -97.6597, 0.000156562, -111.432
210, 3.50000, 162.065, 25.7054, 187.356, -81.0482, 188.901, 152.996, 0.000189632, 122.247, 0.0176084, -100.346, 0.000194694, -115.312
225, 3.75000, 180.348, 22.4318, 214.025, -85.7978, 218.803, 147.443, 0.000227572, 118.627, 0.0194829, -103.72, 0.000239788, -120.806
240, 4.00000, 201.034, 17.8226, 244.669, -91.7816, 250.266, 140.136, 0.000271504, 113.751, 0.021636, -108.254, 0.000290958, -127.978
255, 4.25000, 222.447, 11.7804, 278.156, -99.4691, 280.445, 131.072, 0.000320043, 107.536, 0.0239608, -114.435, 0.000345026, -136.884
270, 4.50000, 242.294, 4.42073, 310.506, -109.091, 304.335, 120.45, 0.000370272, 100.038, 0.0261239, -122.506, 0.000395216, -147.332
285, 4.75000, 258.006, -3.98102, 334.961, -120.386, 316.219, 108.926, 0.000417709, 91.4544, 0.0275928, -132.22, 0.000432492, -158.661
300, 5.00000, 267.26, -13.0414, 344.973, -132.511, 313.5, 97.5552, 0.000456859, 82.1363, 0.0278893, -142.744, 0.00045081, -169.822
315, 5.25000, 268.544, -22.2758, 338.676, -144.334, 298.928, 87.311, 0.000482707, 72.6043, 0.0269304, -152.956, 0.000451358, -179.867
330, 5.50000, 261.966, -31.121, 319.856, -154.935, 278.051, 78.6628, 0.000493217, 63.4828, 0.0250678, -161.944, 0.00044026, 171.646
345, 5.75000, 249.477, -39.0999, 294.633, -163.875, 255.52, 71.601, 0.000490458, 55.282, 0.0228021, -169.276, 0.000423589, 164.694
360, 6.00000, 233.796, -45.9745, 268.048, -171.139, 233.913, 65.8957, 0.000478833, 48.2425, 0.0205214, -174.944, 0.00040523, 159.054
375, 6.25000, 217.212, -51.7346, 242.984, -176.939, 214.287, 61.2821, 0.000462623, 42.3635, 0.0184323, -179.165, 0.0003872, 154.474
390, 6.50000, 201.149, -56.499, 220.609, 178.445, 196.901, 57.5289, 0.000444848, 37.5139, 0.0166068, 177.78, 0.000370406, 150.735
405, 6.75000, 186.3, -60.4284, 201.137, 174.756, 181.66, 54.4503, 0.000427254, 33.5228, 0.0150459, 175.63, 0.000355172, 147.661
420, 7.00000, 172.899, -63.6792, 184.352, 171.781, 168.339, 51.902, 0.000410705, 30.2269, 0.0137213, 174.168, 0.000341535, 145.111
435, 7.25000, 160.945, -66.3851, 169.903, 169.355, 156.679, 49.7728, 0.000395544, 27.4874, 0.0125974, 173.23, 0.000329394, 142.977
450, 7.50000, 150.327, -68.6546, 157.423, 167.355, 146.436, 47.9775, 0.000381837, 25.1923, 0.0116401, 172.69, 0.000318599, 141.177
465, 7.75000, 140.895, -70.5737, 146.586, 165.686, 137.395, 46.4505, 0.00036952, 23.2536, 0.0108199, 172.453, 0.000308987, 139.644
480, 8.00000, 132.501, -72.2096, 137.115, 164.28, 129.374, 45.141, 0.00035847, 21.6024, 0.0101126, 172.449, 0.000300404, 138.329
495, 8.25000, 125.003, -73.6147, 128.783, 163.082, 122.217, 44.0096, 0.000348548, 20.185, 0.00949849, 172.624, 0.000292711, 137.192
510, 8.50000, 118.278, -74.8304, 121.403, 162.053, 115.798, 43.0252, 0.000339619, 18.9593, 0.00896164, 172.938, 0.000285785, 136.203
525, 8.75000, 112.222, -75.8894, 114.826, 161.161, 110.01, 42.1633, 0.000331559, 17.892, 0.00848932, 173.359, 0.000279523, 135.337
540, 9.00000, 106.742, -76.8175, 108.929, 160.381, 104.767, 41.4041, 0.000324256, 16.9569, 0.00807121, 173.862, 0.000273833, 134.573
555, 9.25000, 101.764, -77.6357, 103.611, 159.694, 99.994, 40.7319, 0.000317613, 16.1328, 0.00769897, 174.428, 0.00026864, 133.897
570, 9.50000, 97.2211, -78.3606, 98.7911, 159.086, 95.6305, 40.1338, 0.000311547, 15.4026, 0.00736577, 175.043, 0.000263879, 133.296
585, 9.75000, 93.0604, -79.006, 94.4006, 158.543, 91.6251, 39.5992, 0.000305985, 14.7525, 0.00706602, 175.695, 0.000259494, 132.758
600, 10.00000, 89.2348, -79.5831, 90.3835, 158.056, 87.9342, 39.1195, 0.000300864, 14.171, 0.00679509, 176.373, 0.000255438, 132.275
615, 10.25000, 85.7049, -80.1013, 86.6927, 157.617, 84.5211, 38.6875, 0.000296131, 13.6488, 0.00654913, 177.071, 0.000251671, 131.841
630, 10.50000, 82.4371, -80.5682, 83.2884, 157.218, 81.3545, 38.2971, 0.000291741, 13.1781, 0.00632492, 177.782, 0.000248157, 131.448
645, 10.75000, 79.4023, -80.9902, 80.1372, 156.855, 78.4073, 37.9433, 0.000287652, 12.7523, 0.00611973, 178.501, 0.000244867, 131.092
