Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 14889.5, -124.403, 1.02602, -147.982
75, 1.25000, 28.765, -78.1184, 0.00201236, -101.314
90, 1.50000, 32.5942, -73.7394, 0.00215472, -96.5105
105, 1.75000, 37.2155, -70.3569, 0.00232518, -92.5798
120, 2.00000, 42.7924, -67.8761, 0.00252976, -89.3115
135, 2.25000, 49.6147, -66.3024, 0.00278105, -86.6759
150, 2.50000, 58.0817, -65.8376, 0.00309563, -84.8781
165, 2.75000, 68.4509, -66.8862, 0.00348065, -84.344
180, 3.00000, 80.3076, -69.6534, 0.00391047, -85.3083
195, 3.25000, 92.8353, -73.6222, 0.00434608, -87.2861
210, 3.50000, 106.161, -78.1453, 0.00479768, -89.6627
225, 3.75000, 121.227, -83.2682, 0.00531056, -92.5151
240, 4.00000, 138.595, -89.5021, 0.00590919, -96.3839
255, 4.25000, 157.694, -97.3737, 0.00657014, -101.823
270, 4.50000, 176.3, -107.149, 0.00720548, -109.125
285, 4.75000, 190.564, -118.589, 0.00766834, -118.072
300, 5.00000, 196.7, -130.859, 0.00782041, -127.848
315, 5.25000, 193.557, -142.828, 0.00762809, -137.342
330, 5.50000, 183.222, -153.571, 0.00717931, -145.642
345, 5.75000, 169.158, -162.647, 0.00660852, -152.32
360, 6.00000, 154.246, -170.04, 0.00602332, -157.37
375, 6.25000, 140.145, -175.962, 0.00548292, -161.011
390, 6.50000, 127.541, 179.309, 0.00500947, -163.528
405, 6.75000, 116.566, 175.512, 0.00460493, -165.185
420, 7.00000, 107.107, 172.434, 0.00426272, -166.198
435, 7.25000, 98.9673, 169.91, 0.00397378, -166.734
450, 7.50000, 91.943, 167.815, 0.00372923, -166.918
465, 7.75000, 85.8498, 166.055, 0.00352128, -166.843
480, 8.00000, 80.5316, 164.56, 0.00334347, -166.578
495, 8.25000, 75.8596, 163.277, 0.00319051, -166.176
510, 8.50000, 71.7287, 162.163, 0.00305813, -165.675
525, 8.75000, 68.0535, 161.189, 0.00294292, -165.105
540, 9.00000, 64.7647, 160.328, 0.00284208, -164.487
555, 9.25000, 61.8054, 159.562, 0.00275338, -163.837
570, 9.50000, 59.1289, 158.875, 0.00267497, -163.17
585, 9.75000, 56.6969, 158.255, 0.00260535, -162.494
600, 10.00000, 54.4772, 157.691, 0.00254328, -161.818
615, 10.25000, 52.4432, 157.176, 0.00248773, -161.146
630, 10.50000, 50.5722, 156.702, 0.00243783, -160.482
645, 10.75000, 48.8453, 156.263, 0.00239286, -159.831
660, 11.00000, 47.2461, 155.855, 0.00235221, -159.194
675, 11.25000, 45.7608, 155.474, 0.00231537, -158.573
690, 11.50000, 44.3774, 155.117, 0.00228188, -157.969
705, 11.75000, 43.0855, 154.779, 0.00225136, -157.384
