Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
60, 1.00000, 14681.8, -2.38091, 14530.9, -122.921, 14550, 117.758, 35.1552, -10.2547, 37.0794, -126.91, 37.8569, 116.575
60, 1.00000, 14681.8, -2.38091, 14530.9, -122.921, 14550, 117.758, 35.1552, -10.2547, 37.0794, -126.91, 37.8569, 116.575
75, 1.25000, 30.1805, 35.5006, 27.6722, -77.3509, 30.3388, 159.376, 0.0669151, 38.6488, 0.0669398, -72.6564, 0.0764531, 167.621
60, 1.00000, 14681.8, -2.38091, 14530.9, -122.921, 14550, 117.758, 0.0669151, 38.6488, 0.0669398, -72.6564, 0.0764531, 167.621
90, 1.50000, 33.414, 38.8093, 30.9602, -72.6317, 33.8788, 163.232, 0.0727999, 53.4226, 0.0737464, -57.3594, 0.084981, -179.031
60, 1.00000, 14681.8, -2.38091, 14530.9, -122.921, 14550, 117.758, 0.0727999, 53.4226, 0.0737464, -57.3594, 0.084981, -179.031
105, 1.75000, 37.0438, 41.2288, 34.7711, -68.9604, 37.8342, 166.147, 0.0838102, 67.0058, 0.0856164, -43.2371, 0.0983239, -166.959
60, 1.00000, 14681.8, -2.38091, 14530.9, -122.921, 14550, 117.758, 0.0838102, 67.0058, 0.0856164, -43.2371, 0.0983239, -166.959
120, 2.00000, 41.0552, 42.8173, 39.1412, -66.2203, 42.2051, 168.269, 0.100966, 78.2738, 0.103919, -31.1351, 0.117475, -156.703
60, 1.00000, 14681.8, -2.38091, 14530.9, -122.921, 14550, 117.758, 0.100966, 78.2738, 0.103919, -31.1351, 0.117475, -156.703
150, 2.50000, 50.0409, 43.6769, 49.9031, -63.3954, 52.4173, 170.636, 0.155392, 92.327, 0.16594, -14.5424, 0.17683, -142.068
60, 1.00000, 14681.8, -2.38091, 14530.9, -122.921, 14550, 117.758, 0.155392, 92.327, 0.16594, -14.5424, 0.17683, -142.068
165, 2.75000, 54.7952, 43.1576, 56.4252, -63.4611, 58.6262, 170.971, 0.192004, 95.6922, 0.21323, -10.1939, 0.220328, -137.271
