Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 14820.9, -2.25916, 12.8927, -26.6145
60, 1.00000, 14820.9, -2.25916, 12.8927, -26.6145
75, 1.25000, 30.4289, 35.7656, 0.0251533, 11.911
60, 1.00000, 14820.9, -2.25916, 0.0251533, 11.911
90, 1.50000, 33.6414, 39.2061, 0.0262111, 15.7542
60, 1.00000, 14820.9, -2.25916, 0.0262111, 15.7542
105, 1.75000, 37.2338, 41.7655, 0.0273565, 18.8735
60, 1.00000, 14820.9, -2.25916, 0.0273565, 18.8735
120, 2.00000, 41.1878, 43.5075, 0.0285797, 21.4399
60, 1.00000, 14820.9, -2.25916, 0.0285797, 21.4399
150, 2.50000, 49.9951, 44.7317, 0.0311942, 25.1844
60, 1.00000, 14820.9, -2.25916, 0.0311942, 25.1844
165, 2.75000, 54.6401, 44.4181, 0.0325017, 26.5329
60, 1.00000, 14820.9, -2.25916, 0.0325017, 26.5329
180, 3.00000, 59.4149, 43.7957, 0.0338312, 27.7993
60, 1.00000, 14820.9, -2.25916, 0.0338312, 27.7993
195, 3.25000, 64.6634, 42.916, 0.0353984, 28.9998
60, 1.00000, 14820.9, -2.25916, 0.0353984, 28.9998
210, 3.50000, 70.6804, 41.41, 0.0373637, 29.7301
60, 1.00000, 14820.9, -2.25916, 0.0373637, 29.7301
225, 3.75000, 77.3088, 38.8926, 0.0396404, 29.5715
60, 1.00000, 14820.9, -2.25916, 0.0396404, 29.5715
240, 4.00000, 84.0651, 35.2011, 0.0419942, 28.3292
60, 1.00000, 14820.9, -2.25916, 0.0419942, 28.3292
255, 4.25000, 90.2544, 30.3323, 0.0441131, 25.9705
60, 1.00000, 14820.9, -2.25916, 0.0441131, 25.9705
270, 4.50000, 95.0107, 24.4177, 0.0456232, 22.6001
60, 1.00000, 14820.9, -2.25916, 0.0456232, 22.6001
285, 4.75000, 97.4523, 17.7293, 0.0461552, 18.4663
60, 1.00000, 14820.9, -2.25916, 0.0461552, 18.4663
300, 5.00000, 96.9052, 10.6633, 0.0454352, 13.9438
60, 1.00000, 14820.9, -2.25916, 0.0454352, 13.9438
315, 5.25000, 93.1322, 3.75346, 0.0433764, 9.5487
60, 1.00000, 14820.9, -2.25916, 0.0433764, 9.5487
330, 5.50000, 86.5952, -2.35871, 0.0401911, 5.90712
60, 1.00000, 14820.9, -2.25916, 0.0401911, 5.90712
345, 5.75000, 78.382, -7.10982, 0.0363573, 3.57009
60, 1.00000, 14820.9, -2.25916, 0.0363573, 3.57009
360, 6.00000, 69.6955, -10.1732, 0.0323934, 2.85455
60, 1.00000, 14820.9, -2.25916, 0.0323934, 2.85455
375, 6.25000, 61.4269, -11.4473, 0.0286753, 3.85444
60, 1.00000, 14820.9, -2.25916, 0.0286753, 3.85444
390, 6.50000, 54.077, -10.9629, 0.0254079, 6.53393
60, 1.00000, 14820.9, -2.25916, 0.0254079, 6.53393
405, 6.75000, 47.866, -8.81382, 0.0226776, 10.7956
60, 1.00000, 14820.9, -2.25916, 0.0226776, 10.7956
420, 7.00000, 42.8593, -5.14267, 0.0205084, 16.495
60, 1.00000, 14820.9, -2.25916, 0.0205084, 16.495
435, 7.25000, 39.0456, -0.163802, 0.0188969, 23.4172
60, 1.00000, 14820.9, -2.25916, 0.0188969, 23.4172
450, 7.50000, 36.3712, 5.80878, 0.0178255, 31.2486
60, 1.00000, 14820.9, -2.25916, 0.0178255, 31.2486
465, 7.75000, 34.7485, 12.3659, 0.0172641, 39.5814
60, 1.00000, 14820.9, -2.25916, 0.0172641, 39.5814
480, 8.00000, 34.0575, 19.0608, 0.0171685, 47.9707
60, 1.00000, 14820.9, -2.25916, 0.0171685, 47.9707
495, 8.25000, 34.1545, 25.4977, 0.0174827, 56.0233
60, 1.00000, 14820.9, -2.25916, 0.0174827, 56.0233
510, 8.50000, 34.8881, 31.4015, 0.018145, 63.4667
60, 1.00000, 14820.9, -2.25916, 0.018145, 63.4667
525, 8.75000, 36.1162, 36.634, 0.0190954, 70.1659
60, 1.00000, 14820.9, -2.25916, 0.0190954, 70.1659
540, 9.00000, 37.7177, 41.1679, 0.0202818, 76.0965
60, 1.00000, 14820.9, -2.25916, 0.0202818, 76.0965
555, 9.25000, 39.5958, 45.0441, 0.021662, 81.3027
60, 1.00000, 14820.9, -2.25916, 0.021662, 81.3027
570, 9.50000, 41.6773, 48.336, 0.0232038, 85.8612
60, 1.00000, 14820.9, -2.25916, 0.0232038, 85.8612
585, 9.75000, 43.9086, 51.1258, 0.0248834, 89.8572
60, 1.00000, 14820.9, -2.25916, 0.0248834, 89.8572
600, 10.00000, 46.2509, 53.4918, 0.026684, 93.372
60, 1.00000, 14820.9, -2.25916, 0.026684, 93.372
615, 10.25000, 48.6771, 55.5029, 0.028594, 96.4778
60, 1.00000, 14820.9, -2.25916, 0.028594, 96.4778
630, 10.50000, 51.1682, 57.2179, 0.0306056, 99.2359
60, 1.00000, 14820.9, -2.25916, 0.0306056, 99.2359
645, 10.75000, 53.711, 58.6853, 0.0327138, 101.698
60, 1.00000, 14820.9, -2.25916, 0.0327138, 101.698
660, 11.00000, 56.297, 59.9449, 0.0349158, 103.906
60, 1.00000, 14820.9, -2.25916, 0.0349158, 103.906
675, 11.25000, 58.9204, 61.0293, 0.0372103, 105.895
60, 1.00000, 14820.9, -2.25916, 0.0372103, 105.895
690, 11.50000, 61.5779, 61.965, 0.0395973, 107.694
60, 1.00000, 14820.9, -2.25916, 0.0395973, 107.694
705, 11.75000, 64.2677, 62.7737, 0.0420776, 109.327
60, 1.00000, 14820.9, -2.25916, 0.0420776, 109.327
720, 12.00000, 66.9891, 63.473, 0.0446528, 110.813
60, 1.00000, 14820.9, -2.25916, 0.0446528, 110.813
735, 12.25000, 69.7425, 64.0776, 0.047325, 112.17
60, 1.00000, 14820.9, -2.25916, 0.047325, 112.17
750, 12.50000, 72.5288, 64.5996, 0.0500967, 113.411
60, 1.00000, 14820.9, -2.25916, 0.0500967, 113.411
765, 12.75000, 75.3494, 65.0488, 0.0529709, 114.547
60, 1.00000, 14820.9, -2.25916, 0.0529709, 114.547
780, 13.00000, 78.2061, 65.4335, 0.0559511, 115.589
60, 1.00000, 14820.9, -2.25916, 0.0559511, 115.589
795, 13.25000, 81.1011, 65.7607, 0.0590408, 116.546
60, 1.00000, 14820.9, -2.25916, 0.0590408, 116.546
810, 13.50000, 84.0366, 66.0362, 0.0622441, 117.423
60, 1.00000, 14820.9, -2.25916, 0.0622441, 117.423
825, 13.75000, 87.0153, 66.2648, 0.0655654, 118.229
60, 1.00000, 14820.9, -2.25916, 0.0655654, 118.229
840, 14.00000, 90.0399, 66.4506, 0.0690091, 118.966
60, 1.00000, 14820.9, -2.25916, 0.0690091, 118.966
855, 14.25000, 93.1133, 66.5971, 0.0725802, 119.642
60, 1.00000, 14820.9, -2.25916, 0.0725802, 119.642
870, 14.50000, 96.2385, 66.707, 0.076284, 120.259
60, 1.00000, 14820.9, -2.25916, 0.076284, 120.259
885, 14.75000, 99.4187, 66.7829, 0.0801259, 120.821
60, 1.00000, 14820.9, -2.25916, 0.0801259, 120.821
900, 15.00000, 102.657, 66.8267, 0.0841117, 121.33
60, 1.00000, 14820.9, -2.25916, 0.0841117, 121.33
915, 15.25000, 105.957, 66.8402, 0.0882478, 121.79
60, 1.00000, 14820.9, -2.25916, 0.0882478, 121.79
930, 15.50000, 109.323, 66.8246, 0.0925405, 122.203
60, 1.00000, 14820.9, -2.25916, 0.0925405, 122.203
945, 15.75000, 112.758, 66.7811, 0.0969969, 122.57
60, 1.00000, 14820.9, -2.25916, 0.0969969, 122.57
960, 16.00000, 116.266, 66.7106, 0.101624, 122.894
60, 1.00000, 14820.9, -2.25916, 0.101624, 122.894
975, 16.25000, 119.85, 66.6138, 0.10643, 123.175
60, 1.00000, 14820.9, -2.25916, 0.10643, 123.175
990, 16.50000, 123.516, 66.4911, 0.111423, 123.414
60, 1.00000, 14820.9, -2.25916, 0.111423, 123.414
1005, 16.75000, 127.267, 66.3428, 0.116611, 123.614
60, 1.00000, 14820.9, -2.25916, 0.116611, 123.614
1020, 17.00000, 131.109, 66.1691, 0.122004, 123.774
60, 1.00000, 14820.9, -2.25916, 0.122004, 123.774
1035, 17.25000, 135.045, 65.97, 0.127611, 123.894
60, 1.00000, 14820.9, -2.25916, 0.127611, 123.894
1050, 17.50000, 139.08, 65.7453, 0.133442, 123.976
60, 1.00000, 14820.9, -2.25916, 0.133442, 123.976
1065, 17.75000, 143.22, 65.4947, 0.139508, 124.02
60, 1.00000, 14820.9, -2.25916, 0.139508, 124.02
1080, 18.00000, 147.47, 65.2179, 0.145819, 124.025
60, 1.00000, 14820.9, -2.25916, 0.145819, 124.025
1095, 18.25000, 151.834, 64.9143, 0.152389, 123.992
60, 1.00000, 14820.9, -2.25916, 0.152389, 123.992
1110, 18.50000, 156.32, 64.5831, 0.159229, 123.92
60, 1.00000, 14820.9, -2.25916, 0.159229, 123.92
1125, 18.75000, 160.931, 64.2237, 0.166352, 123.808
60, 1.00000, 14820.9, -2.25916, 0.166352, 123.808
1140, 19.00000, 165.674, 63.8351, 0.173772, 123.657
60, 1.00000, 14820.9, -2.25916, 0.173772, 123.657
1155, 19.25000, 170.556, 63.4162, 0.181503, 123.465
60, 1.00000, 14820.9, -2.25916, 0.181503, 123.465
1170, 19.50000, 175.581, 62.9658, 0.18956, 123.232
60, 1.00000, 14820.9, -2.25916, 0.18956, 123.232
1185, 19.75000, 180.756, 62.4825, 0.197958, 122.956
60, 1.00000, 14820.9, -2.25916, 0.197958, 122.956
1200, 20.00000, 186.087, 61.965, 0.206712, 122.637
60, 1.00000, 14820.9, -2.25916, 0.206712, 122.637
1215, 20.25000, 191.58, 61.4116, 0.21584, 122.273
60, 1.00000, 14820.9, -2.25916, 0.21584, 122.273
1230, 20.50000, 197.24, 60.8204, 0.225358, 121.862
60, 1.00000, 14820.9, -2.25916, 0.225358, 121.862
1245, 20.75000, 203.073, 60.1897, 0.235283, 121.403
60, 1.00000, 14820.9, -2.25916, 0.235283, 121.403
1260, 21.00000, 209.084, 59.5172, 0.245631, 120.894
60, 1.00000, 14820.9, -2.25916, 0.245631, 120.894
1275, 21.25000, 215.278, 58.8007, 0.25642, 120.333
60, 1.00000, 14820.9, -2.25916, 0.25642, 120.333
1290, 21.50000, 221.658, 58.0378, 0.267665, 119.717
60, 1.00000, 14820.9, -2.25916, 0.267665, 119.717
1305, 21.75000, 228.227, 57.2259, 0.279382, 119.045
60, 1.00000, 14820.9, -2.25916, 0.279382, 119.045
1320, 22.00000, 234.985, 56.3623, 0.291587, 118.313
60, 1.00000, 14820.9, -2.25916, 0.291587, 118.313
1335, 22.25000, 241.934, 55.444, 0.30429, 117.52
60, 1.00000, 14820.9, -2.25916, 0.30429, 117.52
1350, 22.50000, 249.069, 54.4681, 0.317502, 116.661
60, 1.00000, 14820.9, -2.25916, 0.317502, 116.661
1365, 22.75000, 256.387, 53.4313, 0.33123, 115.735
60, 1.00000, 14820.9, -2.25916, 0.33123, 115.735
1380, 23.00000, 263.879, 52.3303, 0.345476, 114.737
60, 1.00000, 14820.9, -2.25916, 0.345476, 114.737
1395, 23.25000, 271.532, 51.1618, 0.360238, 113.665
60, 1.00000, 14820.9, -2.25916, 0.360238, 113.665
1410, 23.50000, 279.331, 49.9224, 0.375505, 112.516
60, 1.00000, 14820.9, -2.25916, 0.375505, 112.516
1425, 23.75000, 287.253, 48.6087, 0.391262, 111.285
60, 1.00000, 14820.9, -2.25916, 0.391262, 111.285
1440, 24.00000, 295.27, 47.2177, 0.407479, 109.971
60, 1.00000, 14820.9, -2.25916, 0.407479, 109.971
1455, 24.25000, 303.347, 45.7462, 0.424117, 108.569
60, 1.00000, 14820.9, -2.25916, 0.424117, 108.569
1470, 24.50000, 311.441, 44.1915, 0.441125, 107.078
60, 1.00000, 14820.9, -2.25916, 0.441125, 107.078
1485, 24.75000, 319.5, 42.5515, 0.458433, 105.496
60, 1.00000, 14820.9, -2.25916, 0.458433, 105.496
1500, 25.00000, 327.462, 40.8246, 0.475955, 103.821
